Title,Year,Genres,Production Country,Budget,Revenue,Popularity,Vote Average
Men in Black II,2002,"Action, Adventure, Comedy, Science Fiction",United States of America,140000000,441818803,16775716,6.1
Die Another Day,2002,"Adventure, Action, Thriller",United Kingdom,140000000,431971116,12996474,5.8
Die Another Day,2002,"Adventure, Action, Thriller", United States of America,140000000,431971116,12996474,5.8
Treasure Planet,2002,"Adventure, Animation, Family, Fantasy, Science Fiction",United States of America,140000000,109578115,16141913,7.2
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Adventure, Fantasy, Action",United States of America,140000000,655011224,47326665,7.5
The Last Samurai,2003,"Drama, Action, War, History",Japan,140000000,456758981,19582325,7.3
The Last Samurai,2003,"Drama, Action, War, History", United States of America,140000000,456758981,19582325,7.3
The Last Samurai,2003,"Drama, Action, War, History", New Zealand,140000000,456758981,19582325,7.3
Lemony Snicket's A Series of Unfortunate Events,2004,"Adventure, Comedy, Family",Germany,140000000,209073645,12817945,6.7
Lemony Snicket's A Series of Unfortunate Events,2004,"Adventure, Comedy, Family", United States of America,140000000,209073645,12817945,6.7
Rush Hour 3,2007,"Action, Comedy, Crime, Thriller",United States of America,140000000,258022233,9718111,6.1
Iron Man,2008,"Action, Science Fiction, Adventure",United States of America,140000000,585174222,22073099,7.4
Spider-Man,2002,"Fantasy, Action",United States of America,139000000,821708551,29413341,6.8
Final Fantasy: The Spirits Within,2001,"Adventure, Action, Animation, Fantasy, Science Fiction, Thriller",Japan,137000000,85131830,10223851,5.9
Final Fantasy: The Spirits Within,2001,"Adventure, Action, Animation, Fantasy, Science Fiction, Thriller", United States of America,137000000,85131830,10223851,5.9
Hulk,2003,"Drama, Action, Science Fiction",United States of America,137000000,245360480,15422638,5.3
The World Is Not Enough,1999,"Adventure, Action, Thriller",United Kingdom,135000000,361832400,12130127,6
The World Is Not Enough,1999,"Adventure, Action, Thriller", United States of America,135000000,361832400,12130127,6
Stealth,2005,Action,United States of America,135000000,76932943,1389018,4.9
Miami Vice,2006,"Action, Adventure, Crime, Thriller",Uruguay,135000000,163794509,1172545,5.7
Miami Vice,2006,"Action, Adventure, Crime, Thriller", United States of America,135000000,163794509,1172545,5.7
Miami Vice,2006,"Action, Adventure, Crime, Thriller", Germany,135000000,163794509,1172545,5.7
Miami Vice,2006,"Action, Adventure, Crime, Thriller", Paraguay,135000000,163794509,1172545,5.7
Stuart Little,1999,"Animation, Fantasy, Family, Comedy",Germany,133000000,300135367,83595,5.8
Stuart Little,1999,"Animation, Fantasy, Family, Comedy", United States of America,133000000,300135367,83595,5.8
War of the Worlds,2005,"Adventure, Thriller, Science Fiction",United States of America,132000000,591739379,19929377,6.2
Godzilla,1998,"Science Fiction, Action, Thriller",United States of America,130000000,379014294,11295121,5.3
Bad Boys II,2003,"Adventure, Action, Comedy, Thriller, Crime",United States of America,130000000,273339556,8191436,6.3
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Fantasy, Family",United Kingdom,130000000,789804554,28460276,7.7
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Fantasy, Family", United States of America,130000000,789804554,28460276,7.7
Sahara,2005,"Action, Adventure, Comedy, Drama, Mystery",Germany,130000000,119269486,8946243,5.7
Sahara,2005,"Action, Adventure, Comedy, Drama, Mystery", Spain,130000000,119269486,8946243,5.7
Sahara,2005,"Action, Adventure, Comedy, Drama, Mystery", United Kingdom,130000000,119269486,8946243,5.7
Sahara,2005,"Action, Adventure, Comedy, Drama, Mystery", United States of America,130000000,119269486,8946243,5.7
Kingdom of Heaven,2005,"Drama, Action, Adventure, History, War",Germany,130000000,211643158,16296471,6.6
Kingdom of Heaven,2005,"Drama, Action, Adventure, History, War", Morocco,130000000,211643158,16296471,6.6
Kingdom of Heaven,2005,"Drama, Action, Adventure, History, War", Spain,130000000,211643158,16296471,6.6
Kingdom of Heaven,2005,"Drama, Action, Adventure, History, War", United Kingdom,130000000,211643158,16296471,6.6
Kingdom of Heaven,2005,"Drama, Action, Adventure, History, War", United States of America,130000000,211643158,16296471,6.6
Fantastic 4: Rise of the Silver Surfer,2007,"Adventure, Fantasy, Action, Thriller",Germany,130000000,289047763,12924254,5.4
Fantastic 4: Rise of the Silver Surfer,2007,"Adventure, Fantasy, Action, Thriller", United Kingdom,130000000,289047763,12924254,5.4
Fantastic 4: Rise of the Silver Surfer,2007,"Adventure, Fantasy, Action, Thriller", United States of America,130000000,289047763,12924254,5.4
National Treasure: Book of Secrets,2007,"Action, Adventure, Mystery, Thriller",United States of America,130000000,457363168,12854373,6.1
Kung Fu Panda,2008,"Adventure, Animation, Family, Comedy",United States of America,130000000,631744560,16897541,6.9
Watchmen,2009,"Action, Mystery, Science Fiction",United States of America,130000000,185258983,16551503,7
Australia,2008,Drama,Australia,130000000,49554002,9566135,6.3
Australia,2008,Drama, United States of America,130000000,49554002,9566135,6.3
Australia,2008,Drama, United Kingdom,130000000,49554002,9566135,6.3
Dinosaur,2000,"Animation, Family",United States of America,127500000,354248063,9998415,6.2
The Island,2005,"Action, Thriller, Science Fiction, Adventure",United States of America,126000000,162949164,11443647,6.5
Batman & Robin,1997,"Action, Crime, Fantasy",United Kingdom,125000000,238207122,17038824,4.2
Batman & Robin,1997,"Action, Crime, Fantasy", United States of America,125000000,238207122,17038824,4.2
Mission: Impossible II,2000,"Adventure, Action, Thriller",Germany,125000000,546388105,1897178,5.9
Mission: Impossible II,2000,"Adventure, Action, Thriller", United States of America,125000000,546388105,1897178,5.9
Harry Potter and the Philosopher's Stone,2001,"Adventure, Fantasy, Family",United Kingdom,125000000,976475550,38187238,7.5
Harry Potter and the Philosopher's Stone,2001,"Adventure, Fantasy, Family", United States of America,125000000,976475550,38187238,7.5
The Day After Tomorrow,2004,"Action, Adventure, Science Fiction, Thriller",United States of America,125000000,544272402,15049695,6.2
The Da Vinci Code,2006,"Thriller, Mystery",United States of America,125000000,767820459,18566706,6.5
The Da Vinci Code,2006,"Thriller, Mystery", Malta,125000000,767820459,18566706,6.5
The Da Vinci Code,2006,"Thriller, Mystery", France,125000000,767820459,18566706,6.5
The Da Vinci Code,2006,"Thriller, Mystery", United Kingdom,125000000,767820459,18566706,6.5
How the Grinch Stole Christmas,2000,"Family, Comedy, Fantasy",Germany,123000000,345141403,11642462,6.2
How the Grinch Stole Christmas,2000,"Family, Comedy, Fantasy", United States of America,123000000,345141403,11642462,6.2
A Bug's Life,1998,"Adventure, Animation, Comedy, Family",United States of America,120000000,363258859,16869209,6.8
The Perfect Storm,2000,Drama,United States of America,120000000,325756637,18911961,6.2
Atlantis: The Lost Empire,2001,"Animation, Family, Adventure, Science Fiction",United States of America,120000000,186053725,10901602,6.7
Star Wars: Episode II - Attack of the Clones,2002,"Adventure, Action, Science Fiction",United States of America,120000000,649398328,14072511,6.4
Stuart Little 2,2002,"Family, Adventure, Animation, Comedy",United States of America,120000000,169956806,9274909,5.4
Charlie's Angels: Full Throttle,2003,"Action, Adventure, Comedy",United States of America,120000000,259175788,7821116,5.2
King Arthur,2004,"Adventure, War, History",Ireland,120000000,203567857,8862107,6.1
King Arthur,2004,"Adventure, War, History", United Kingdom,120000000,203567857,8862107,6.1
King Arthur,2004,"Adventure, War, History", United States of America,120000000,203567857,8862107,6.1
"I, Robot",2004,"Action, Science Fiction",United States of America,120000000,347234916,1443075,6.7
"I, Robot",2004,"Action, Science Fiction", Germany,120000000,347234916,1443075,6.7
Cars,2006,"Animation, Adventure, Comedy, Family",United States of America,120000000,461983149,18907948,6.6
Speed Racer,2008,"Action, Family, Science Fiction",Australia,120000000,93945766,7134168,5.7
Speed Racer,2008,"Action, Family, Science Fiction", Germany,120000000,93945766,7134168,5.7
Speed Racer,2008,"Action, Family, Science Fiction", United States of America,120000000,93945766,7134168,5.7
Dante's Peak,1997,"Action, Adventure, Thriller",United States of America,116000000,178127760,7240753,5.8
The Aviator,2004,Drama,United States of America,116000000,102000000,986738,7
True Lies,1994,"Action, Thriller",United States of America,115000000,378882411,11396099,6.8
Star Wars: Episode I - The Phantom Menace,1999,"Adventure, Action, Science Fiction",United States of America,115000000,924317558,15649091,6.4
Lara Croft: Tomb Raider,2001,"Adventure, Fantasy, Action, Thriller",United States of America,115000000,274703340,15851722,5.7
"Monsters, Inc.",2001,"Animation, Comedy, Family",United States of America,115000000,562816256,26419962,7.5
Windtalkers,2002,"Drama, Action, History, War",United States of America,115000000,77628265,7455875,5.8
Star Wars: Episode III - Revenge of the Sith,2005,"Science Fiction, Adventure, Action",United States of America,113000000,850000000,13165421,7.1
Tomorrow Never Dies,1997,"Adventure, Action, Thriller",United Kingdom,110000000,333011068,17159576,6
