title,year,runtime,genres
Sakho & Mangane,2019,51,action comedy
The Pirates: The Last Royal Treasure,2022,126,action comedy
One Piece,1999,23,action comedy animation drama fantasy
The Boss Baby: Back in Business,2018,23,action comedy animation family fantasy
True Memoirs of an International Assassin,2016,98,action comedy crime
Coffee & Kareem,2020,88,action comedy crime
Boss,2013,143,action comedy crime drama
The Getaway King,2021,100,action comedy crime drama
GREAT PRETENDER,2020,24,action comedy crime drama animation
Vincenzo,2021,81,action comedy crime drama romance
Awara Paagal Deewana,2002,169,action comedy crime drama thriller
Jackass: The Movie,2002,88,action comedy documentation
Jackass 3.5,2011,85,action comedy documentation
Ever After High,2013,30,action comedy drama family fantasy music romance animation
Transformers: Prime,2010,22,action comedy drama family scifi animation
Hotel Del Luna,2019,80,action comedy drama fantasy horror romance scifi
Minnal Murali,2021,158,action comedy drama fantasy scifi
Cobra Kai,2018,31,action comedy drama sport
Offline: Are You Ready for the Next Level?,2016,91,action comedy european
Asphalt Burning,2020,100,action comedy european
Malibu Rescue,2019,69,action comedy family
Kung Fu Panda Awesome Secrets,2008,0,action comedy family animation
Dinotrux,2015,23,action comedy family animation
All Hail King Julien,2014,23,action comedy family fantasy animation
Dragons: Rescue Riders: Hunt for the Golden Dragon,2020,46,action comedy family fantasy animation
Angry Birds: Summer Madness,2022,14,action comedy family fantasy animation
Winx Club,2004,23,action comedy family fantasy animation thriller european
The Warriors Gate,2016,108,action comedy family fantasy european
Action Pack,2022,28,action comedy family fantasy scifi animation
Kid Cosmic,2021,23,action comedy family fantasy scifi animation
44 Cats,2018,15,action comedy family music animation
Inspector Gadget,2015,21,action comedy family scifi animation
3 Ninjas Kick Back,1994,93,action comedy family sport
Once Upon a Time in Lingjian Mountain,2019,45,action comedy fantasy romance drama
Iris,2009,61,action comedy reality romance thriller
Ajab Prem Ki Ghazab Kahani,2009,150,action comedy romance
The Untamed,2019,44,action comedy romance drama fantasy horror
Stretch Armstrong & the Flex Fighters,2017,23,action comedy scifi animation
InuYasha,2000,25,action comedy scifi animation drama fantasy romance
Black & White,2009,37,action comedy sport crime
Inspector Koo,2021,69,action comedy thriller
The Unknown Hitman: The Story of El Cholo Adrián,2017,49,action crime
You Cannot Hide,2019,45,action crime
Major Grom: Plague Doctor,2021,136,action crime
Carmen Sandiego,2019,23,action crime animation thriller family
The Misadventures of Hedi and Cokeman,2021,99,action crime comedy
Agneepath,1990,174,action crime drama
Scams,2019,24,action crime drama
Furioza,2021,139,action crime drama
Trailer Park Boys: Out of the Park: Europe,2016,30,action crime drama comedy
Remember You,2021,67,action crime drama romance
Arrow,2012,42,action crime drama scifi
Gumrah,1993,149,action crime drama thriller
Lawless Lawyer,2018,64,action crime drama thriller
Shadow,2019,43,action crime drama thriller
Maria,2019,90,action crime drama thriller
Kate,2021,106,action crime drama thriller
Ganglands,2021,46,action crime drama thriller
Etharkkum Thunindhavan,2022,151,action crime drama thriller
Sky Rojo,2021,27,action crime drama thriller
The Cartel,2008,44,action crime drama thriller comedy
Chaos,2005,106,action crime drama thriller european
Polar,2019,118,action crime drama thriller european
Below Zero,2021,106,action crime horror thriller drama
El cartel 2 - La guerra total,2010,44,action crime horror thriller war
Project Power,2020,111,action crime scifi thriller
Aakhri Adaalat,1988,148,action crime thriller
Revenger,2018,102,action crime thriller
Avengement,2019,90,action crime thriller
Gunpowder Milkshake,2021,114,action crime thriller
Sooryavanshi,2021,145,action crime thriller
Shaitan,2011,126,action crime thriller drama
Pedal to Metal,2022,38,action crime thriller drama
The Stronghold,2020,105,action crime thriller european
Dark Tourist,2018,41,action documentation
The Legend of Bruce Lee,2008,45,action drama
Into the Badlands,2015,43,action drama
Mossad 101,2015,42,action drama
La Niña,2016,45,action drama
HiGH&LOW: The Red Rain,2016,110,action drama
Road To High & Low,2016,95,action drama
Paskal,2018,100,action drama
El Dragón: Return of a Warrior,2019,53,action drama
The 2nd,2020,93,action drama
El Final del Paraíso,2019,50,action drama
The Lost Okoroshi,2020,94,action drama
Children of Adam,2020,41,action drama
Twins Mission,2007,103,action drama comedy crime
Angamaly Diaries,2017,132,action drama comedy thriller
Apaharan,2005,173,action drama crime
Warrior,2018,42,action drama crime
Santana,2020,106,action drama crime
Teenage Bounty Hunters,2020,49,action drama crime comedy
Hap and Leonard,2016,42,action drama crime thriller
21 Bridges,2019,99,action drama crime thriller
Dealer,2021,32,action drama crime thriller
NCIS,2003,44,action drama crime thriller comedy
The Water Man,2020,92,action drama family fantasy thriller
Prem Ratan Dhan Payo,2015,164,action drama family romance
Midnight Mass,2021,64,action drama fantasy horror scifi
Dracula,2020,88,action drama fantasy horror thriller
Kingdom: Ashin of the North,2021,92,action drama fantasy horror thriller
Ragnarok,2020,47,action drama fantasy thriller scifi
Frontier,2016,46,action drama history
Knightfall,2017,44,action drama history
The Battleship Island,2017,132,action drama history
Barbarians,2020,47,action drama history
Marco Polo,2014,55,action drama history documentation
Heneral Luna,2015,118,action drama history war
20 Minutes,2013,45,action drama romance
Ram Jaane,1995,172,action drama romance crime
Black Money Love,2014,90,action drama romance crime
Sin senos sí hay paraíso,2016,47,action drama romance crime
Outer Banks,2020,49,action drama romance thriller crime
Z Nation,2014,43,action drama scifi comedy horror romance
Wakfu,2008,22,action drama scifi fantasy animation family european
Alice in Borderland,2020,47,action drama scifi thriller fantasy
The Walking Dead,2010,46,action drama scifi thriller horror
Mobile Suit Gundam Unicorn,2010,35,action drama scifi war animation
