title,year,imdb,tmdb,genre
The Ryan White Story,1989,7.2,6.4,drama
In Defense of a Married Man,1990,5.6,4.9,drama
Dil,1990,6.6,6.5,romance
Bye Bye London,1982,8.7,7.5,comedy
Quiet Victory: The Charlie Wedemeyer Story,1988,7.1,8,drama
Strange Voices,1987,6.3,6.8,drama
Aakhri Adaalat,1988,5.1,5,action
A Stoning in Fulham County,1988,5.8,5.8,crime
The Married Couples,1981,0,9.2,drama
Sayed The Servant,1985,0,7.6,comedy
Muqaddar Ka Faisla,1987,4.8,0,comedy
Sohni Mahiwal,1984,6.1,5.8,romance
The Little Wars,1982,6.3,5.5,drama
Bill Hicks: Sane Man,1989,0,7.5,comedy
Duniya,1984,6.2,0,drama
Pyar Ke Do Pal,1986,6.1,0,drama
Jaal,1986,5.2,5,drama
Mujrim,1989,5.4,6,drama
An Egyptian Story,1982,7.3,6.7,fantasy
Ek Jaan Hain Hum,1983,6.3,7,family
The Quick and the Dead,1995,6.5,6.5,western
Survivor,2000,7.4,7.3,reality
Stargate SG-1,1997,8.4,8.2,scifi
Pokmon,1997,7.6,7.6,scifi
Forrest Gump,1994,8.8,8.5,drama
Happy Gilmore,1996,7,6.6,comedy
One Piece,1999,8.8,8.8,action
Saving Private Ryan,1998,8.6,8.2,drama
Cowboy Bebop,1998,8.9,8.5,western
Star Trek: Deep Space Nine,1993,8.1,7.9,scifi
The Challenge,1998,7.8,7.6,reality
Gattaca,1997,7.8,7.6,thriller
Gilmore Girls,2000,8.2,7.8,comedy
Blade,1998,7.1,6.7,action
You've Got Mail,1998,6.7,6.6,romance
Starship Troopers,1997,7.3,7,scifi
Neon Genesis Evangelion,1995,8.5,8.6,scifi
The Magic School Bus,1994,7.8,7.9,scifi
Donnie Brasco,1997,7.7,7.5,thriller
Power Rangers,1993,6.5,6.7,scifi
U.S. Marshals,1998,6.5,6.5,thriller
Adventures of Sonic the Hedgehog,1993,6.2,6.2,action
Wild Things,1998,6.6,6.3,drama
Last Action Hero,1993,6.4,6.4,comedy
Seven Years in Tibet,1997,7.1,7.2,drama
The Devil's Advocate,1997,7.5,7.4,horror
A River Runs Through It,1992,7.2,7.1,drama
Goosebumps,1995,7.6,8,scifi
Yu-Gi-Oh!,1998,7.2,7.3,scifi
InuYasha,2000,7.9,8.6,action
Any Given Sunday,1999,6.9,6.8,drama
Menace II Society,1993,7.5,7.5,drama
Desperado,1995,7.1,6.9,thriller
The Mask of Zorro,1998,6.8,6.5,action
The Patriot,2000,7.2,7.1,drama
Road Trip,2000,6.5,6.2,comedy
Free Willy,1993,6,6.2,drama
My First Errand,1991,0,7,reality
3 Ninjas Kick Back,1994,4.5,5.5,action
In the Line of Fire,1993,7.2,7,drama
The Replacements,2000,6.6,6.6,comedy
Johnny Mnemonic,1995,5.6,5.7,scifi
Little Women,1994,7.3,7.3,drama
Anaconda,1997,4.8,5.1,thriller
My Girl,1991,6.9,7.4,comedy
Cliffhanger,1993,6.5,6.4,thriller
I Know What You Did Last Summer,1997,5.7,5.9,horror
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6,6.1,scifi
Hollow Man,2000,5.8,5.9,scifi
Godzilla,1998,5.4,5.6,thriller
Neon Genesis Evangelion: The End of Evangelion,1997,8,8.4,scifi
Spawn,1997,5.2,5.3,fantasy
Dennis the Menace,1993,5.6,5.8,comedy
The Net,1995,5.9,6,thriller
The Devil's Own,1997,6.2,6.1,thriller
Croupier,1998,7,6.8,thriller
Teenage Mutant Ninja Turtles III,1993,4.7,5.4,fantasy
The General's Daughter,1999,6.4,6.4,drama
The Next Karate Kid,1994,4.5,5.3,drama
I Still Know What You Did Last Summer,1998,4.7,5.3,thriller
Double Team,1997,4.7,5.1,scifi
Under Suspicion,2000,6.5,6.1,thriller
Moesha,1996,5.7,7.3,drama
Cardcaptor Sakura,1998,8,8.7,scifi
Geronimo: An American Legend,1993,6.5,6.3,western
The Mirror Has Two Faces,1996,6.6,6.7,romance
Bill Hicks: One Night Stand,1991,0,7.5,comedy
Knight Rider 2000,1991,4.5,5.1,action
The Last Days,1998,7.9,7.8,drama
The Parkers,1999,6.8,8,comedy
Heavy,1995,6.8,6.8,romance
Bill Hicks: Revelations,1993,8.5,8.1,comedy
Sankofa,1993,7,6.5,drama
Bill Hicks: Relentless,1992,0,7.9,comedy
Jerry Seinfeld: I'm Telling You for the Last Time,1998,7.9,7.6,comedy
Children of God,1994,6.4,6.4,documentation
Wild Tango,1993,6.7,6.3,drama
Kuch Kuch Hota Hai,1998,7.6,7.7,drama
Oggy and the Cockroaches,1999,7.4,7.5,comedy
Herod's Law,1999,7.8,7.9,drama
Tim Allen: Rewires America,1991,5.9,7,comedy
Heartbreak High,1994,7.8,7.3,drama
Dil Se..,1998,7.5,6.8,drama
Escalona,1991,0,7.7,drama
Aashik Aawara,1993,4.7,4.7,romance
Destiny,1997,7.1,6.6,drama
Oh Darling! Yeh Hai India!,1995,4,4.8,comedy
A Triumph of the Heart: The Ricky Bell Story,1991,7.2,5.1,drama
Bombay,1995,8.1,7.2,romance
West Beirut,1998,7.6,7.4,romance
Muthu,1995,7.6,6.9,drama
Qila,1998,4.8,6,drama
Ram Jaane,1995,5.4,5,action
Chamatkar,1992,6.5,6.6,comedy
Soldier,1998,6.2,5.7,thriller
Okupas,2000,9,8.8,crime
Hum Saath Saath Hain,1999,6.2,6,fantasy
Kabhi Haan Kabhi Naa,1994,7.6,6.6,comedy
Nightmare in Columbia County,1991,5.5,6,drama
Phir Bhi Dil Hai Hindustani,2000,6.1,6.6,comedy
Sam Kinison: Family Entertainment Hour,1991,0,6,comedy
Jeans,1998,6.4,6.5,drama
Chaahat,1996,5.5,7,drama
Hum Aapke Hain Koun..!,1994,7.5,6.5,romance
Maya Memsaab,1993,5.4,5.5,romance
Out of Life,1991,6.9,6.2,war
Duplicate,1998,5.5,6,comedy
Govindha Govindha,1993,6.6,4,drama
Damini,1993,7.8,7.3,drama
English Babu Desi Mem,1996,4.5,5.2,romance
Before the Flying Circus,2000,7.3,8.5,comedy
Sam Kinison: Live in Vegas,1991,6.6,6,comedy
Anjaam,1994,6.6,7.1,thriller
Mann,1999,6.1,6.8,drama
Monty Python: Live at Aspen,1998,7.8,6.9,comedy
Sinbad: Afros and Bellbottoms,1993,7.8,5.5,comedy
The Other,1999,5.9,5.9,drama
Sinbad: Son of a Preacher Man,1996,6.7,5.8,comedy
Children of Shatila,1999,8.2,6.7,documentation
Gumrah,1993,6.1,6.7,action
The Emigrant,1994,6.5,5.6,drama
Yodha,1991,4.5,5,drama
Avvai Shanmugi,1996,7.9,7.4,drama
Minsara Kanavu,1997,6.7,6.6,comedy
Chronicle of a Disappearance,1996,6.9,6.7,drama
Yaar Gaddar,1994,3.6,4,crime
Sinbad: Nothin' but the Funk,1998,6.2,5.3,comedy
Dushmani,1995,5,7.5,romance
Fiza,2000,6,6.3,drama
Hello Brother,1999,4.6,5.3,romance
Have You Ever Seen Fireflies? - Theatre Play,1999,0,7.5,drama
Shikari,1991,5.9,5,drama
Breaking Bad,2008,9.5,8.8,drama
The Walking Dead,2010,8.2,8.1,action
The Staircase,2004,7.8,7.7,crime
Downton Abbey,2010,8.7,8.1,drama
Grey's Anatomy,2005,7.6,8.3,drama
The Great British Baking Show,2010,8.6,7.7,reality
Criminal Minds,2005,8.1,8.3,thriller
NCIS,2003,7.8,7.6,action
Community,2009,8.5,8,comedy
Heartland,2007,8.4,8.3,drama
Supernatural,2005,8.5,8.3,scifi
Forgetting Sarah Marshall,2008,7.1,6.5,comedy
War of the Worlds,2005,6.5,6.5,thriller
Arrested Development,2003,8.7,8.1,comedy
The IT Crowd,2006,8.5,8.1,comedy
30 Rock,2006,8.3,7.4,comedy
Avatar: The Last Airbender,2005,9.3,8.7,scifi
Inception,2010,8.8,8.4,scifi
The Other Guys,2010,6.6,6.3,crime
How to Train Your Dragon,2010,8.1,7.8,fantasy
Friday Night Lights,2006,8.7,8,drama
Casino Royale,2006,8,7.5,thriller
Michael Clayton,2007,7.2,6.7,thriller
My Little Pony: Friendship Is Magic,2010,7.6,8.1,scifi
The Fairly OddParents,2001,7.2,7.7,scifi
Jackass: The Movie,2002,6.6,6.3,action
Sonic X,2003,6.1,7.5,action
DEATH NOTE,2006,9,8.7,scifi
Zoolander,2001,6.5,6.2,comedy
The Vampire Diaries,2009,7.7,8.3,scifi
Charlie and the Chocolate Factory,2005,6.6,7,fantasy
Cleaner,2007,6.1,6,thriller
Harold & Kumar Go to White Castle,2004,7,6.5,comedy
The Social Network,2010,7.8,7.3,drama
Road to Perdition,2002,7.7,7.4,thriller
Naruto,2002,8.4,8.4,scifi
Blow,2001,7.5,7.4,drama
Shooter,2007,7.2,7.1,thriller
Big Fish,2003,8,7.8,drama
The Bourne Ultimatum,2007,8,7.4,thriller
Public Enemies,2009,7,6.7,crime
America's Next Top Model,2003,5.6,5.3,reality
Sherlock Holmes,2009,7.6,7.2,crime
Love Actually,2003,7.6,7.1,drama
Closer,2004,7.2,6.8,drama
Chappelle's Show,2003,8.8,8.1,comedy
Something's Gotta Give,2003,6.7,6.6,romance
Grown Ups,2010,5.9,6.3,comedy
The Blind Side,2009,7.6,7.7,drama
Quantum of Solace,2008,6.6,6.3,thriller
The Ring,2002,7.1,6.6,horror
Trailer Park Boys,2001,8.6,8,comedy
Into the Wild,2007,8.1,7.8,drama
True Grit,2010,7.6,7.3,western
Blade Runner: The Final Cut,2007,0,9,action
Rambo,2008,7,6.6,thriller
Stardust,2007,7.6,7.2,fantasy
Borgen,2010,8.5,8.1,drama
The Last Samurai,2003,7.8,7.5,drama
iCarly,2007,6.7,8,comedy
Victorious,2010,6.9,8.2,comedy
The Book of Eli,2010,6.8,6.8,thriller
Identity,2003,7.3,7.2,thriller
Merlin,2008,7.9,7.9,action
Apocalypse Now Redux,2001,0,9.8,drama
Shrek Forever After,2010,6.3,6.3,fantasy
Hairspray,2007,6.7,6.7,comedy
Corpse Bride,2005,7.3,7.5,fantasy
Let Me In,2010,7.1,6.8,horror
Monster,2003,7.3,7.2,crime
Without a Paddle,2004,5.8,5.5,thriller
Once Upon a Time in Mexico,2003,6.3,6.3,drama
Cloudy with a Chance of Meatballs,2009,6.9,6.6,animation
Offspring,2010,8.3,7,drama
Blade II,2002,6.7,6.5,thriller
Chloe,2009,6.3,6,thriller
Blood Diamond,2006,8,7.5,thriller
The Lake House,2006,6.8,6.9,drama
Terminator 3: Rise of the Machines,2003,6.3,6.1,thriller
Beerfest,2006,6.2,6,comedy
Heist,2001,6.5,6.3,thriller
Catch and Release,2006,5.9,5.9,romance
Just Like Heaven,2005,6.7,6.9,drama
Gurren Lagann,2007,8.3,8.2,scifi
Four Brothers,2005,6.8,6.7,crime
John Q,2002,7,7.2,drama
Not Another Teen Movie,2001,5.7,5.8,comedy
21,2008,6.8,6.7,drama
Code Geass: Lelouch of the Rebellion,2006,8.7,8.5,scifi
Terminator Salvation,2009,6.5,6,thriller
Deck the Halls,2006,5,5.5,comedy
The Girl Next Door,2007,6.5,6.6,thriller
The Cat in the Hat,2003,4,5.3,fantasy
Jackass 2.5,2007,0,6.1,documentation
Final Destination 3,2006,5.8,6.1,horror
Thir13en Ghosts,2001,5.6,6.2,thriller
The One,2001,5.9,6.1,scifi
Happy Feet,2006,6.4,6.1,comedy
Ip Man,2008,8,7.7,drama
Coach Carter,2005,7.3,7.5,drama
Blade: Trinity,2004,5.8,5.9,action
Monster-in-Law,2005,5.5,6.2,romance
Halloween,2007,6,6.2,horror
How Do You Know,2010,5.4,5.3,drama
The Sweetest Thing,2002,5.1,5.5,comedy
The Final Destination,2009,5.1,5.6,horror
The Other Boleyn Girl,2008,6.7,6.6,romance
Friday the 13th,2009,5.5,5.8,horror
The Bucket List,2007,7.4,7.2,drama
Freddy vs. Jason,2003,5.7,6,horror
Transformers: Prime,2010,7.9,8,action
Memoirs of a Geisha,2005,7.3,7.7,drama
A Nightmare on Elm Street,2010,5.2,5.5,horror
Body of Lies,2008,7.1,6.6,drama
A Cinderella Story,2004,5.9,6.5,romance
The Mole,2001,7.6,7.8,reality
Osmosis Jones,2001,6.3,6.5,animation
Scary Movie 4,2006,5.1,5.5,comedy
The Texas Chainsaw Massacre,2003,6.2,6.2,horror
Fun with Dick and Jane,2005,6.1,6.2,comedy
TMNT,2007,6.2,6.1,animation
Due Date,2010,6.5,6.3,drama
Cop Out,2010,5.5,5.6,comedy
The 4400,2004,7.3,7.2,scifi
Still Game,2002,8.9,8.3,comedy
3 Idiots,2009,8.4,8,comedy
Midnight Diner,2009,8.6,7.8,drama
H2O: Just Add Water,2006,7.2,7.8,drama
Black Butler,2008,8.3,7.6,scifi
Octonauts,2010,7.6,7.2,action
New York Minute,2004,4.8,6.2,comedy
Strawberry Shortcake,2003,7,6.6,animation
Total Drama Island,2007,7.4,7.3,action
Dreamer: Inspired By a True Story,2005,6.8,6.9,drama
Monster House,2006,6.6,6.6,fantasy
Starsky & Hutch,2004,6.1,5.8,comedy
Tears of the Sun,2003,6.6,6.8,drama
Boys Over Flowers,2009,7.9,8.3,comedy
Winx Club,2004,6.2,8.2,action
The Cave,2005,5.1,5.3,horror
Big Time Rush,2009,6.3,8.8,comedy
The Texas Chainsaw Massacre: The Beginning,2006,5.8,6.1,horror
I Am Sam,2001,7.6,7.6,drama
The Spiderwick Chronicles,2008,6.5,6.6,fantasy
Rumor Has It...,2005,5.5,5.6,comedy
Dead Set,2008,7.6,7.3,scifi
Toradora!,2008,8,8.5,animation
I Now Pronounce You Chuck & Larry,2007,5.9,6,comedy
Metallica: Some Kind of Monster,2004,0,0,western
World Trade Center,2006,6,6.1,thriller
Premonition,2007,5.9,6.3,thriller
Shaun the Sheep,2007,8,7.9,animation
Eagle Eye,2008,6.6,6.4,thriller
The Contractor,2007,0,5.6,thriller
Lagaan: Once Upon a Time in India,2001,8.1,7.3,drama
The Men Who Stare at Goats,2009,6.2,6,comedy
Scare Tactics,2003,6.7,6.5,comedy
Friends with Money,2006,5.8,5.1,romance
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,6.8,fantasy
Kath & Kim,2002,8.3,7.5,comedy
Good Luck Chuck,2007,5.6,5.9,comedy
Pocoyo,2005,3.9,7.1,animation
Louis C.K.: Hilarious,2010,8.4,7.9,comedy
Death at a Funeral,2010,5.6,5.8,comedy
Gifted Hands: The Ben Carson Story,2009,7.6,7.8,drama
The Game,2006,6.6,8.4,comedy
No Direction Home: Bob Dylan,2005,0,7.7,music
Angel Beats!,2010,7.7,8,scifi
Blood and Bone,2009,6.7,7.4,thriller
Ip Man 2,2010,7.5,7.4,drama
Masha and the Bear,2009,7.6,6.9,comedy
Like Stars on Earth,2007,8.3,8,drama
Monty Python: Almost the Truth (The Lawyer's Cut),2009,8.1,7.9,comedy
The Legend of Bruce Lee,2008,7,5.8,action
Ouran High School Host Club,2006,8.2,8.4,comedy
Felon,2008,7.4,7.2,crime
The Ultimatum,2009,5.4,0,drama
Mobile Suit Gundam Unicorn,2010,7.8,7.8,action
Stuart Little 2,2002,5.5,5.7,comedy
Johnny Test,2005,5.1,5.6,comedy
Code Lyoko,2003,7.3,7.7,action
Did You Hear About the Morgans?,2009,4.9,5.4,comedy
Iris,2009,7.8,7.8,action
DreamWorks Shrek's Swamp Stories,2010,6.5,8.5,horror
Ben & Holly's Little Kingdom,2009,7.5,6.6,comedy
The Garfield Show,2009,5.3,5.3,animation
Chaos,2005,6.4,6.3,action
Wakfu,2008,8.1,8.9,action
Katt Williams: The Pimp Chronicles Pt. 1,2006,7.6,6.3,comedy
Initial D,2005,6.3,6.7,drama
Comedian,2002,6.9,6.7,comedy
Delta Farce,2007,3.6,5,action
One Piece: Strong World,2009,7.5,7.5,fantasy
Christmas with the Kranks,2004,5.4,6.1,comedy
Dinosaur King,2007,5.6,8.2,action
Love Happens,2009,5.6,5.9,drama
Vampire Knight,2008,7.3,8.4,scifi
Den-noh Coil,2007,7.9,8.1,scifi
Zig and Sharko,2010,6.8,5.8,comedy
Even the Rain,2010,7.4,6.9,drama
Population 436,2006,0,5.8,horror
Kabhi Khushi Kabhie Gham,2001,7.4,7.9,drama
Naruto Shippuden the Movie,2007,6.7,7.2,fantasy
Open Season 2,2008,0,5.8,comedy
Trailer Park Boys: The Movie,2006,7.1,6.7,comedy
Jeff Dunham: Arguing with Myself,2006,8,6.7,comedy
From Within,2008,5.6,5.6,thriller
Jodhaa Akbar,2008,7.5,7.4,romance
And Then Came Lola,2009,3.9,5.4,comedy
One on One,2001,7,7.9,comedy
Om Shanti Om,2007,6.7,7,comedy
Jab We Met,2007,7.9,7.4,comedy
The Cartel,2008,8.1,7.5,action
Te quiero,2001,4.8,2,drama
Bon Cop Bad Cop,2006,6.5,6.4,crime
Naruto: Ninja Clash in the Land of Snow,2004,6.6,7.2,comedy
The Mafia Dolls,2009,6.6,7.4,drama
Horrid Henry,2006,6.3,7.5,comedy
I Will Follow,2010,5.9,5.7,drama
Alpha and Omega,2010,5.1,5.8,animation
One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,2007,6.9,6.7,drama
Bo on the Go!,2007,4.1,6,animation
Waist Deep,2006,5.8,6.6,thriller
Naruto: Guardians of the Crescent Moon Kingdom,2006,6.4,7.1,action
First Sunday,2008,4.5,5.7,comedy
Einsatzgruppen: The Nazi Death Squads,2009,7.6,7.3,documentation
This Is the Life,2008,6.3,7.4,documentation
My Suicide,2009,7,6.1,comedy
Kyaa Kool Hai Hum,2005,6.1,4.9,comedy
Kung Fu Panda Awesome Secrets,2008,7.2,0,action
Divine Intervention,2002,6.6,6.4,drama
Accident,2009,6.6,6.6,thriller
Zach Galifianakis: Live at the Purple Onion,2007,0,7,comedy
Naruto: Legend of the Stone of Gelel,2005,6.4,6.6,fantasy
Jim Gaffigan: Beyond the Pale,2006,7.9,7.1,comedy
Dreamworks Happy Holidays from Madagascar,2005,6.5,0,animation
Billu,2009,6.3,6.5,drama
Half & Half,2002,7,8.1,comedy
The Qin Empire,2009,0,8.7,war
Timmy Time,2009,6.9,6.6,comedy
Dil Chahta Hai,2001,8.1,7,drama
Trailer Park Boys: Countdown to Liquor Day,2009,7.3,6.8,comedy
Bleach the Movie: Hell Verse,2010,7.4,7.4,fantasy
Whisky,2004,7.1,6.8,drama
EMI,2008,4.4,7,drama
Vientos de agua,2006,8.7,9,drama
Naruto Shippuden the Movie: The Lost Tower,2010,6.9,7,action
Naruto Shippuden the Movie: Bonds,2008,6.8,7.2,fantasy
Naruto Shippuden the Movie: The Will of Fire,2009,7,7.3,action
Linewatch,2008,5.4,5.2,thriller
The Boy Who Cried Werewolf,2010,5.9,6.5,fantasy
Dostana,2008,6.5,6.2,drama
Whitney Cummings: Money Shot,2010,6.2,5.9,comedy
Don,2006,7.1,7.1,thriller
Rock On!!,2008,7.7,6.9,drama
Eternal Summer,2006,7,5.5,romance
Mike Birbiglia: What I Should Have Said Was Nothing,2008,7.6,7.5,comedy
Welcome,2007,6.9,6.5,romance
Just Another Love Story,2007,7.2,6.7,thriller
Arahan,2004,6.6,6.5,thriller
Phir Hera Pheri,2006,7.1,6.4,comedy
Bleach the Movie: Fade to Black,2008,7.2,7,fantasy
Rang De Basanti,2006,8.1,7.2,comedy
Oscar's Oasis,2010,7.4,7.3,animation
Swades,2004,8.1,7.4,drama
Kaal,2005,4.7,4.3,thriller
Sorry to Disturb,2008,8,6.4,thriller
2 Alone in Paris,2008,5.4,5.1,comedy
Delhi-6,2009,6.1,5.8,drama
Kal Ho Naa Ho,2003,7.9,7.5,drama
Sivaji: The Boss,2007,7.5,7,drama
Ishqiya,2010,7.3,6.3,comedy
Trotro,2004,6.2,7.2,animation
Guzaarish,2010,7.4,7.4,drama
A Lion in the House,2006,8.7,6.5,documentation
Oye Lucky! Lucky Oye!,2008,7.7,6.9,comedy
Love in a Puff,2010,7.1,7.1,romance
Kabhi Alvida Naa Kehna,2006,6,6.4,drama
Monty Python Conquers America,2008,0,6.5,documentation
Black Friday,2004,8.4,7.4,crime
Kevin James: Sweat the Small Stuff,2001,7.4,7.4,comedy
Connected,2008,6.6,6.3,thriller
Vivah,2006,6.6,6.4,drama
Golmaal Returns,2008,5.1,4.9,comedy
Jim Gaffigan: King Baby,2009,7.7,7,comedy
The Trailer Park Boys Xmas Special,2004,8,7.3,comedy
Bluffmaster!,2005,6.6,5.8,drama
Inuyasha the Movie 4: Fire on the Mystic Island,2004,7.2,7.7,fantasy
My Fhrer,2007,5.5,5.7,drama
Vizontele,2001,8,7.2,comedy
Tayo the Little Bus,2010,5.2,6.3,animation
Autumn's Concerto,2009,7.9,7.8,drama
Sir! No Sir!,2005,7.6,7,war
DreamWorks Spooky Stories,2009,6.2,0,animation
Inuyasha the Movie: Affections Touching Across Time,2001,7.2,7.6,action
Once Upon a Time in Mumbaai,2010,7.4,6.6,thriller
Guru,2007,7.7,6.8,romance
Main Hoon Na,2004,7,6.9,drama
Romantik Komedi,2010,5.3,4.8,romance
Jeff Dunham's Very Special Christmas Special,2008,7.4,7,comedy
Paheli,2005,6.3,6.3,fantasy
Honeymoon Travels Pvt. Ltd.,2007,6.1,5.4,comedy
Behind Enemy Lines,2001,7.2,0,drama
Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,7.6,7.8,fantasy
Fated to Love You,2008,7.4,7.3,drama
Kaminey,2009,7.4,6.8,drama
Nuevo Rico Nuevo Pobre,2007,7.2,7.7,comedy
Kevin Hart: I'm a Grown Little Man,2009,7.5,7.3,comedy
G.O.R.A.,2004,8,7.2,scifi
Jaane Tu... Ya Jaane Na,2008,7.4,6.8,drama
Mukhsin,2006,7.3,6.8,drama
Pecados capitales,2002,8.5,0,comedy
Apaharan,2005,7.4,6.3,action
Chhota Bheem,2008,4.1,6.1,action
Splatter,2009,0,3.4,horror
Pedro El Escamoso,2001,7.5,7.8,drama
Chup Chup Ke,2006,6.9,6.1,comedy
Manorama Six Feet Under,2007,7.6,6.5,thriller
Doing Hard Time,2004,0,5.4,crime
Sergio,2009,7.4,8.1,documentation
Luck by Chance,2009,7.1,6.6,romance
Tim Minchin: So F**king Rock Live,2008,0,6.9,comedy
Karthik Calling Karthik,2010,7.1,6.3,thriller
The Egyptian Nightingale,2008,0,7.1,comedy
Monty Python's Personal Best,2006,7.9,8,comedy
Ajab Prem Ki Ghazab Kahani,2009,6.3,6.1,action
Dhan Dhana Dhan Goal,2007,5,5.3,drama
Salt of This Sea,2008,6.8,6.3,romance
Yuva,2004,7.3,6.4,action
Fuga,2006,6.3,5.9,thriller
Namastey London,2007,7.1,6.2,comedy
Fashion,2008,6.9,6.3,romance
Peepli Live,2010,7.4,7.3,drama
Lakshya,2004,7.8,6.6,drama
Trailer Park Boys: Say Goodnight to the Bad Guys,2008,7.8,7.4,comedy
Pomegranates and Myrrh,2009,6.3,6.7,drama
Tony Manero,2008,6.8,6.4,drama
Do Dooni Chaar,2010,7.5,6.4,drama
Kismat Konnection,2008,5.3,4.9,romance
Wake Up Sid,2009,7.6,7.1,comedy
Life in a Metro,2007,7.4,6.4,drama
El cartel 2 - La guerra total,2010,6.8,0,action
Awara Paagal Deewana,2002,6.2,5.5,action
The Figurine (Araromire),2009,4.4,4.3,horror
The Unjust,2010,6.6,6.4,thriller
Kurbaan,2009,5.7,4.6,thriller
CanÕt Complain,2007,7.5,6.5,thriller
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,7.3,7.6,animation
Spookley the Square Pumpkin,2004,0,4.6,family
Taxi No. 9 2 11,2006,7.2,6.4,drama
Anbe Sivam,2003,8.7,7.5,comedy
Gangaajal,2003,7.8,6.3,drama
Chalte Chalte,2003,6.5,6.2,comedy
Mumbai Meri Jaan,2008,7.7,6.9,drama
Aamir,2008,7.6,6.9,thriller
Frontiers of Dreams and Fears,2001,8.3,0,documentation
Ishq Vishk,2003,6.1,5.8,drama
The Truth,2008,0,0,drama
The Legend of Bhagat Singh,2002,8.1,6.9,drama
Under the Bombs,2007,7,6.4,romance
Race,2008,6.9,6.1,drama
Udaan,2010,8.1,7.3,drama
